id	eng	amh	gaz	kqy-latin	kqy-ethiopic	hdy	ktb	sid	kbr
trinity+1	1st Sunday after Trinity	ከሥላሴ በኋላ 1ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 1ffaa	Wonto Haydzunte Ankeme e geede bidzunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ብድዙንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Luxxi Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Wona Abbata	Sillaase gedensaanni umi Sambata	
trinity+2	2nd Sunday after Trinity	ከሥላሴ በኋላ 2ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 2ffaa	Wonto Haydzunte Ankeme e geede lakkunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ለኩንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage La’m Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Lanki Abbata	Sillaase gedensaanni 2kki Sambata	
trinity+3	3rd Sunday after Trinity	ከሥላሴ በኋላ 3ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 3ffaa	Wonto Haydzunte Ankeme e geede hayxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ሀይሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Saxxi Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Sakki Abbata	Sillaase gedensaanni 3kki Sambata	
trinity+4	4th Sunday after Trinity	ከሥላሴ በኋላ 4ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 4ffaa	Wonto Haydzunte Ankeme e geede oyxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ኦይሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Soo’l Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Shoolki Abbata	Sillaase gedensaanni 4kki Sambata	
trinity+5	5th Sunday after Trinity	ከሥላሴ በኋላ 5ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 5ffaa	Wonto Haydzunte Ankeme e geede ichicho Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ እችቾ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Onti Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Ontiqqi Abbata	Sillaase gedensaanni 5kki Sambata	
trinity+6	6th Sunday after Trinity	ከሥላሴ በኋላ 6ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 6ffaa	Wonto Haydzunte Ankeme e geede izzunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ እዙንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Loh Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Lehiqqi Abbata	Sillaase gedensaanni 6kki Sambata	
trinity+7	7th Sunday after Trinity	ከሥላሴ በኋላ 7ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 7ffaa	Wonto Haydzunte Ankeme e geede laafunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ላፉንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Lama’l Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Lamalqi Abbata	Sillaase gedensaanni 7kki Sambata	
trinity+8	8th Sunday after Trinity	ከሥላሴ በኋላ 8ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 8ffaa	Wonto Haydzunte Ankeme e geede hazunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ሀዙንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Sadeenti Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Hezzeettiqqi Abbata	Sillaase gedensaanni 8kki Sambata	
trinity+9	9th Sunday after Trinity	ከሥላሴ በኋላ 9ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 9ffaa	Wonto Haydzunte Ankeme e geede odunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ኦዱንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Honsi Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Honsiqqi Abbata	Sillaase gedensaanni 9kki Sambata	
trinity+10	10th Sunday after Trinity	ከሥላሴ በኋላ 10ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 10ffaa	Wonto Haydzunte Ankeme e geede tanxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ተንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Tommi Abba’a	Sasooma Magani Abbaachchi Zakkiin yoo Tordunqi Abbata	Sillaase gedensaanni 10kki Sambata	
trinity+11	11th Sunday after Trinity	ከሥላሴ በኋላ 11ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 11ffaa	Wonto Haydzunte Ankeme e geede tamma bidzunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ተመ ብድዙንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Tommanee Mat Abba’aa	Sasooma Magani Abbaachchi Zakkiin yoo Toona matiqqi Abbata	Sillaase gedensaanni 11kki Sambata	
trinity+12	12th Sunday after Trinity	ከሥላሴ በኋላ 12ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 12ffaa	Wonto Haydzunte Ankeme e geede tamma lanxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ተመ ለንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Tommanee La’m Abba’aa	Sasooma Magani Abbaachchi Zakkiin yoo Toona lanki Abbata	Sillaase gedensaanni 12kki Sambata	
trinity+13	13th Sunday after Trinity	ከሥላሴ በኋላ 13ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 13ffaa	Wonto Haydzunte Ankeme e geede tamma hayxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ተመ ሀይሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Tommanee Saxxi Abba’aa	Sasooma Magani Abbaachchi Zakkiin yoo Toona sakki Abbata	Sillaase gedensaanni 13kki Sambata	
trinity+14	14th Sunday after Trinity	ከሥላሴ በኋላ 14ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 14ffaa	Wonto Haydzunte Ankeme e geede tamma oyxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ተመ ኦይሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Tommanee Soo’l Abba’aa	Sasooma Magani Abbaachchi Zakkiin yoo Toona shoolki Abbata	Sillaase gedensaanni 14kki Sambata	
trinity+15	15th Sunday after Trinity	ከሥላሴ በኋላ 15ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 15ffaa	Wonto Haydzunte Ankeme e geede tamma ichicho Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ተመ እችቾ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Tommanee Onti Abba’aa	Sasooma Magani Abbaachchi Zakkiin yoo Toona ontiqqi Abbata	Sillaase gedensaanni 15kki Sambata	
trinity+16	16th Sunday after Trinity	ከሥላሴ በኋላ 16ኛ እሑድ	Sadan Tokkummaa Booda Sanbata Guddaa 16ffaa	Wonto Haydzunte Ankeme e geede tamma izzunxo Anke	ዎንቶ ሀይድዙንቴ አንኬሜ ኤ ጌዴ ተመ እዙንሦ አንኬ	Saseeyyoo’m Mateeyyoo’m Ugudiinsi Lasage Tommanee Loh Abba’aa	Sasooma Magani Abbaachchi Zakkiin yoo Toona lehiqqi Abbata	Sillaase gedensaanni 16kki Sambata	
